Country,gdp_2018
Afghanistan,19362969582.0
Angola,105751000000.0
Albania,15058879129.0
Andorra,3236543909.0
United Arab Emirates,414179000000.0
Argentina,518475000000.0
Armenia,12433089919.0
Antigua and Barbuda,1623804016.0
Australia,1432200000000.0
Austria,455737000000.0
Azerbaijan,46939529412.0
Burundi,3078029929.0
Belgium,531767000000.0
Benin,10358985583.0
Burkina Faso,14441763759.0
Bangladesh,274025000000.0
Bulgaria,65132951116.0
Bahrain,37746196809.0
Bosnia and Herzegovina,19781776101.0
Belarus,59662495092.0
Belize,1925000000.0
Bolivia,40287647757.0
Brazil,1868630000000.0
Brunei,13567099498.0
Bhutan,2534965163.0
Botswana,18616018903.0
Central African Republic,2379716827.0
Canada,1709330000000.0
Switzerland,705501000000.0
Chile,298231000000.0
China,13608200000000.0
Côte d'Ivoire,43007045466.0
Cameroon,38502059858.0
Democratic Republic of the Congo,47227535291.0
Republic of the Congo,11263682694.0
Colombia,330228000000.0
Comoros,1203080508.0
Cape Verde,1986928612.0
Costa Rica,60126014829.0
Cyprus,24469841832.0
Czech Republic,244105000000.0
Germany,3996760000000.0
Djibouti,1965982322.0
Dominica,503646211.1
Denmark,351300000000.0
Dominican Republic,81298585403.0
Algeria,180689000000.0
Ecuador,108398000000.0
Egypt,250895000000.0
Spain,1426190000000.0
Estonia,30284890757.0
Ethiopia,84355462494.0
Finland,275683000000.0
Fiji,5479504926.0
France,2777540000000.0
Micronesia,344501760.0
Gabon,17017401832.0
United Kingdom,2825210000000.0
Georgia,16209818081.0
Ghana,65556464056.0
Guinea,10989790256.0
Gambia,1624464137.0
Guinea-Bissau,1458156026.0
Equatorial Guinea,13317453070.0
Greece,218032000000.0
Grenada,1207454556.0
Guatemala,78460447920.0
Guyana,3610435299.0
Honduras,23803230473.0
Croatia,60805659436.0
Haiti,9658084644.0
Hungary,155703000000.0
Indonesia,1042170000000.0
India,2726320000000.0
Ireland,375903000000.0
Iraq,225914000000.0
Iceland,25878475760.0
Israel,369690000000.0
Italy,2073900000000.0
Jamaica,15717858487.0
Jordan,42290832158.0
Japan,4970920000000.0
Kazakhstan,170539000000.0
Kenya,87908262520.0
Kyrgyzstan,8092836609.0
Cambodia,24571753583.0
Kiribati,188284518.8
Saint Kitts & Nevis,1039875050.0
South Korea,1619420000000.0
Kuwait,141678000000.0
Laos,18130724396.0
Lebanon,56639155556.0
Liberia,3249000000.0
Libya,48319620013.0
Saint Lucia,1876189778.0
Sri Lanka,88900770858.0
Lesotho,2791762880.0
Lithuania,53251369047.0
Luxembourg,69487922619.0
Latvia,34849078086.0
Morocco,118495000000.0
Moldova,11309082555.0
Madagascar,12100459087.0
Maldives,5272288443.0
Mexico,1223810000000.0
Marshall Islands,211523642.4
North Macedonia,12672131053.0
Mali,17196688920.0
Malta,14542039605.0
Myanmar,71214803378.0
Montenegro,5452173041.0
Mongolia,13009574621.0
Mozambique,14457964381.0
Mauritania,5365868725.0
Mauritius,14220348673.0
Malawi,7064971176.0
Malaysia,354348000000.0
Namibia,14521711630.0
Niger,9239513530.0
Nigeria,397270000000.0
Nicaragua,13117859222.0
Netherlands,912872000000.0
Norway,434751000000.0
Nepal,28812491892.0
Nauru,114718022.8
New Zealand,205025000000.0
Oman,79294928479.0
Pakistan,312570000000.0
Panama,65055100000.0
Peru,222238000000.0
Philippines,330910000000.0
Palau,310111145.0
Papua New Guinea,23431596214.0
Poland,585783000000.0
Portugal,237979000000.0
Paraguay,40842341774.0
Qatar,192009000000.0
Romania,239553000000.0
Russia,1657550000000.0
Rwanda,9509003197.0
Saudi Arabia,782483000000.0
Sudan,40851536134.0
Senegal,24129599552.0
Singapore,364157000000.0
Solomon Islands,1411904531.0
Sierra Leone,3999945202.0
El Salvador,26056950000.0
Somalia,7484000000.0
Serbia,50508366850.0
Sao Tome & Principe,422296762.3
Suriname,3427269682.0
Slovakia,106472000000.0
Slovenia,54235484383.0
Sweden,551032000000.0
Eswatini,4703787507.0
Seychelles,1590180446.0
Chad,11302544205.0
Togo,5300214337.0
Thailand,504993000000.0
Tajikistan,7522947810.0
Turkmenistan,40761142857.0
Timor-Leste,2581000000.0
Tonga,450353313.9
Trinidad and Tobago,23410353435.0
Tunisia,39860715814.0
Turkey,766509000000.0
Tuvalu,42587778.47
Tanzania,57437073927.0
Uganda,27476945526.0
Ukraine,130832000000.0
Uruguay,59596885024.0
United States,20494100000000.0
Uzbekistan,50499920318.0
St. Vincent & Grenadines,813093984.1
Vietnam,244948000000.0
Vanuatu,887817896.3
Samoa,861494700.7
Yemen,26914402224.0
South Africa,366298000000.0
Zambia,26720073436.0
Zimbabwe,31000519447.0
