Country,city,tourists_mm
China,Hong Kong,23.7
Singapore,Singapore,21.3
Thailand,Bangkok,15.8
United Kingdom,London,15.5
China,Macau,13.4
Malaysia,Kuala Lumpur,13.3
China,Shenzhen,12.1
United States,New York City,11.6
Turkey,Antalya,10.3
France,Paris,9.8
Turkey,Istanbul,8.8
Italy,Rome,8.7
United Arab Emirates,Dubai,8.0
China,Guangzhou,7.9
Thailand,Phuket,7.2
Saudi Arabia,Mecca,6.9
Thailand,Pattaya,6.6
China,Taipei City,6.6
Czech Republic,Prague,6.5
China,Shanghai,6.5
United States,Las Vegas,6.3
United States,Miami,6.0
Spain,Barcelona,5.5
Russia,Moscow,5.0
China,Beijing,5.0
United States,Los Angeles,5.0
Hungary,Budapest,4.8
Austria,Vienna,4.3
Netherlands,Amsterdam,4.3
Bulgaria,Sofia,4.1
Spain,Madrid,4.1
United States,Orlando,4.1
Vietnam,Ho Chi Minh City,3.9
Peru,Lima,3.8
Germany,Berlin,3.8
Japan,Tokyo,3.7
Poland,Warsaw,3.7
India,Chennai,3.5
Egypt,Cairo,3.5
Kenya,Nairobi,3.4
China,Hangzhou,3.4
Italy,Milan,3.3
United States,San Francisco,3.2
Argentina,Buenos Aires,3.2
Italy,Venice,3.2
Mexico,Mexico City,3.1
Ireland,Dublin,3.1
South Korea,Seoul,3.0
Turkey,Mugla,3.0
India,Mumbai,3.0
Indonesia,Denpasar,3.0
India,Delhi,2.9
Canada,Toronto,2.8
China,Zhuhai,2.7
Russia,St Petersburg,2.7
Bulgaria,Burgas,2.7
Australia,Sydney,2.7
Tunisia,Djerba,2.6
Germany,Munich,2.6
South Africa,Johannesburg,2.6
Mexico,Cancun,2.6
Turkey,Edirne,2.6
China,Suzhou,2.5
Romania,Bucharest,2.4
Dominican Republic,Punta Cana,2.4
India,Agra,2.4
India,Jaipur,2.3
Belgium,Brussels,2.3
France,Nice,2.2
Thailand,Chiang Mai,2.2
Egypt,Sharm el-Sheikh,2.2
Portugal,Lisbon,2.2
Saudi Arabia,East Province,2.2
Morocco,Marrakech,2.1
Indonesia,Jakarta,2.1
Bahrain,Manama,2.0
Vietnam,Hanoi,2.0
United States,Honolulu,2.0
Philippines,Manila,2.0
China,Guilin,2.0
New Zealand,Auckland,2.0
Cambodia,Siem Reap,1.9
Tunisia,Sousse,1.9
Jordan,Amman,1.9
Canada,Vancouver,1.9
United Arab Emirates,Abu Dhabi,1.9
Ukraine,Kiev,1.9
Qatar,Doha,1.9
Italy,Florence,1.8
Brazil,Rio de Janeiro,1.8
Australia,Melbourne,1.8
United States,Washington D.C.,1.7
Saudi Arabia,Riyadh,1.7
New Zealand,Christchurch,1.7
Germany,Frankfurt,1.7
Azerbaijan,Baku,1.7
Brazil,Sao Paulo,1.7
Zimbabwe,Harare,1.7
India,Kolkata,1.6
China,Nanjing,1.6
