Country,dish
Afghanistan,['Kabuli Palaw']
Albania,['Tav� kosi']
Algeria,['Couscous ']
Andorra,[None]
Angola,['Moamba de galinha ']
Antigua and Barbuda,"['Pepperpot, Fungee']"
Argentina,['Asado']
Armenia,"['Harissa, Dolma, Khorovats']"
Australia,"['Meat pie,Roast lamb ']"
Austria,"['Wiener schnitzel, Tafelspitz']"
Azerbaijan,['Dolma']
Bahamas,['Crack conch with peas and rice ']
Bahrain,['Machboos']
Bangladesh,"['Rice, Fish, Chicken Korma']"
Barbados,['Cou-Cou and Flying Fish ']
Belarus,['Draniki']
Belgium,['Moules-frites']
Belize,['Boil up']
Benin,[None]
Bhutan,['Ema datshi']
Bolivia,['Salte�as']
Bosnia and Herzegovina,['Bosnian pot']
Botswana,['Seswaa']
Brazil,['Feijoada']
Brunei,['Ambuyat']
Bulgaria,"['Banitsa, Bob chorba']"
Burkina Faso,[None]
Burundi,[None]
Cambodia,['Amok trey']
Cameroon,['Ndol�']
Canada,['Kraft Dinner']
Cape Verde,['Cachupa']
Central African Republic,[None]
Chad,[None]
Chile,['Empanada']
China,"['Char siu', 'Peking Duck']"
Colombia,"['Ajiaco, Bandeja paisa']"
Comoros,[None]
Costa Rica,['Gallo pinto']
Croatia,['Istrian stew']
Cuba,"['Ropa vieja, Moros y cristianos']"
Cyprus,['Fasolada']
Czech Republic,['roast pork with dumplings and sauerkraut']
Côte d'Ivoire,"['Fufu, Kedjenou']"
Democratic Republic of the Congo,[None]
Denmark,"['fried pork and potato-based dish', 'Kiviak']"
Djibouti,[None]
Dominica,"['Mountain chicken, Fish broth']"
Dominican Republic,"['rice, red beans, and meat']"
Ecuador,"['Encebollado, Fritada,Guatitas,']"
Egypt,"['Ful medames, kushari,']"
El Salvador,['Pupusa']
Equatorial Guinea,[None]
Eritrea,"['Zigini with injera, Gored gored, raw meat']"
Estonia,['sauerkraut stew']
Eswatini,[None]
Ethiopia,"['Wat with injera, Fit-fit']"
Fiji,[None]
Finland,"['Karjalanpaisti,M�mmi, Saut�ed reindeer']"
France,"['Cr�pe, Pot-au-feu,Macaron, Bisque']"
Gabon,['Poulet Nyembwe']
Gambia,[None]
Georgia,"['Khachapuri, khinkali']"
Germany,"['Currywurst, Sauerbraten, Bratwurst']"
Ghana,['Fufu']
Greece,"['Fasolada,Moussaka, Souvlaki']"
Grenada,['Oil Down']
Guatemala,"['Fiambre, Pepian (hearty meat stew)']"
Guinea,[None]
Guinea-Bissau,[None]
Guyana,['Pepperpot']
Haiti,['Red beans and rice ']
Honduras,"['Baleada, Carne asada, Sopa de Caracol (Conch Soup)']"
Hungary,"['Guly�s,']"
Iceland,"['H�karl, ?orramatur']"
India,['No officially announced national dish']
Indonesia,"['Tumpeng Sate,Soto,Nasi goreng']"
Iran,"['Chelo kabab, Ghormeh sabzi']"
Iraq,"['Samak masgouf,Kleicha']"
Ireland,"['Colcannon,Irish stew ']"
Israel,"['Hummus, falafel, Meorav Yerushalmi']"
Italy,"['Pasta,Polenta,Pizza, Risotto']"
Jamaica,"['Ackee and Saltfish, Jamaican patty']"
Japan,"['Sushi, Japanese curry,Ramen ']"
Jordan,['Mansaf']
Kazakhstan,[None]
Kenya,"['Ugali, Sukuma wiki, Nyama choma']"
Kiribati,[None]
Kuwait,['Machboos']
Kyrgyzstan,"['Beshbarmak, Laghman, Kuurdak']"
Laos,"['Tum Mak Hoong (Som Tum, its Thai name)']"
Latvia,['Latke']
Lebanon,['Kibbeh']
Lesotho,[None]
Liberia,[None]
Libya,[None]
Liechtenstein,[None]
Lithuania,['Cepelinai']
Luxembourg,"['Judd mat Gaardebounen, Bouneschlupp']"
Madagascar,['Romazava ']
Malawi,[None]
Malaysia,"['Nasi lemak,Satay, Laksa, Roti canai']"
Maldives,[None]
Mali,[None]
Malta,"['Pastizzi, Rabbit Stew (Fenkata)']"
Marshall Islands,[None]
Mauritania,"['Thieboudienne, Couscous']"
Mauritius,[None]
Mexico,"['Tacos, Mole poblano,Chiles en nogada']"
Moldova,"['M?m?lig?, Sarmale, R?cituri']"
Monaco,[None]
Mongolia,['Buuz']
Morocco,"['Couscous, Tagine']"
Mozambique,[None]
Myanmar,[None]
Namibia,[None]
Nauru,[None]
Nepal,['Dal bhat']
Netherlands,"['Keshi yena', 'Stamppot, hutspot']"
New Zealand,"['Bacon and egg pie, lamb, pavlova']"
Nicaragua,['Gallo pinto ']
Niger,[None]
Nigeria,['Jollof rice']
North Korea,"['Galbi, Kimchi']"
North Macedonia,['Tav?e Grav?e']
Norway,['F�rik�l']
Oman,[None]
Pakistan,"['Biryani, Nihari']"
Palau,[None]
Panama,['Sancocho de gallina']
Papua New Guinea,[None]
Paraguay,['Sopa paraguaya']
Peru,['Ceviche']
Philippines,"['Adobo,Lechon (both unofficial)']"
Poland,"['Bigos, Pierogi,Kotlet schabowy, ?urek']"
Portugal,['Bacalhau']
Qatar,[None]
Republic of the Congo,[None]
Romania,"['M?m?lig?, Sarmale, Mici']"
Russia,[None]
Rwanda,[None]
Saint Kitts & Nevis,[None]
Saint Lucia,[None]
Samoa,[None]
San Marino,['Torta Tre Monti']
Sao Tome & Principe,[None]
